#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC03626.JPG	35.4539522191	139.4586859510	147.7563934326	
DSC03627.JPG	35.4542494374	139.4587051826	147.6799316406	
DSC03628.JPG	35.4545150122	139.4586914020	147.7090301514	
DSC03629.JPG	35.4547931664	139.4586969396	147.3086853027	
DSC03630.JPG	35.4551029147	139.4587026392	149.9647064209	
DSC03631.JPG	35.4554016223	139.4586819421	150.0634918213	
DSC03632.JPG	35.4556934285	139.4587219466	151.3832092285	
DSC03633.JPG	35.4551439843	139.4593610046	142.4481353760	
DSC03634.JPG	35.4545722740	139.4593764896	143.5405578613	
DSC03635.JPG	35.4539830665	139.4593745443	144.5972900391	
DSC03636.JPG	35.4540278723	139.4600090911	146.4877319336	
DSC03637.JPG	35.4543351955	139.4599663988	147.2138366699	
DSC03638.JPG	35.4546694751	139.4600231805	147.1568756104	
DSC03639.JPG	35.4549648754	139.4600492411	149.0813598633	
DSC03640.JPG	35.4552202929	139.4600413554	147.7115631104	
DSC03641.JPG	35.4555244223	139.4600647128	148.7557678223	
